""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
Adventures of Priscilla, Queen of the Desert, The (1994) : 310
Adventures of Robin Hood, The (1938) : 760
Adventures of Rocky and Bullwinkle, The (2000) : 3003
Adventures of Sebastian Cole, The (1998) : 2215
Adventures of Sharkboy and Lavagirl 3-D, The (2005) : 6137
Adventures of Tintin, The (2011) : 7902
Affair of Love, An (Liaison pornographique, Une) (1999) : 3083
Affair to Remember, An (1957) : 752
African Queen, The (1951) : 786
Age of Innocence, The (1993) : 362
Age of Stupid, The (2009) : 7399
Agony and the Ecstasy of Phil Spector, The (2009) : 7649
Agony and the Ecstasy, The (1965) : 6055
Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972) : 4957
Air Up There, The (1994) : 364
Alamo, The (1960) : 3240
Alice, Sweet Alice (a.k.a. Communion) (a.k.a. Holy Terror) (1976) : 2284
Allnighter, The (1987) : 1772
Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965) : 580
Amazing Panda Adventure, The (1995) : 125
Amazing Spider-Man, The (2012) : 8063
Ambassador, The (Ambassadøren) (2011) : 8141
Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001) : 3854
America, America (1963) : 6636
American Crime, An (2007) : 6926
American Friend, The (Amerikanische Freund, Der) (1977) : 4428
American President, The (1995) : 10
American Rhapsody, An (2001) : 3713
American Tail, An (1986) : 1699
American Tail: Fievel Goes West, An (1991) : 1700
American Werewolf in London, An (1981) : 1066
American Werewolf in Paris, An (1997) : 2237
American in Paris, An (1951) : 721
American, The (2010) : 7585
Americanization of Emily, The (1964) : 5345
Amityville Curse, The (1990) : 1073
Amityville Horror, The (1979) : 1072
Amityville Horror, The (2005) : 6108
Andalusian Dog, An (Chien andalou, Un) (1929) : 5651
Anderson Tapes, The (1971) : 6225
Andromeda Strain, The (1971) : 4567
Angel Named Billy, An (2007) : 8337
Angel at My Table, An (1990) : 4745
Angus, Thongs and Perfect Snogging (2008) : 7040
Animal, The (2001) : 3439
Animatrix, The (2003) : 5906
Anniversary Party, The (2001) : 3443
Ant Bully, The (2006) : 6465
Apartment, The (1960) : 730
Apostle, The (1997) : 1346
Apple Dumpling Gang Rides Again, The (1979) : 1578
Apple Dumpling Gang, The (1975) : 811
Apprenticeship of Duddy Kravitz, The (1974) : 7473
Aristocats, The (1970) : 543
Aristocrats, The (2005) : 6173
Arrival, The (1996) : 625
Art of Getting By, The (2011) : 7967
Art of Negative Thinking, The (Kunsten å tenke negativt) (2006) : 6865
Art of War, The (2000) : 3100
Art of the Steal, The (2009) : 7650
Art of the Steal, The (2013) : 8490
As Above, So Below (2014) : 8626
Asphalt Jungle, The (1950) : 2690
Assassination of Jesse James by the Coward Robert Ford, The (2007) : 6779
Assassination of Richard Nixon, The (2004) : 5982
Assignment, The (1997) : 1298
Associate, The (1996) : 897
Astronaut Farmer, The (2007) : 6608
Astronaut's Wife, The (1999) : 2264
Atalante, L' (1934) : 5659
Atomic Cafe, The (1982) : 4043
Autumn Tale, An (Conte d'automne) (1998) : 2166
Avengers, The (1998) : 1711
Avengers, The (2012) : 7865
Aviator, The (2004) : 5976
Avventura, L' (Adventure, The) (1960) : 5348
Awful Truth, The (1937) : 4536
Awfully Big Adventure, An (1995) : 127
Baader Meinhof Komplex, Der (2008) : 7171
Babadook, The (2014) : 8587
Baby of Mâcon, The (a.k.a. The Baby of Macon) (1993) : 5848
Baby-Sitters Club, The (1995) : 308
Babysitter, The (1995) : 191
Bachelor and the Bobby-Soxer, The (1947) : 5494
Bachelor, The (1999) : 2413
Back-up Plan, The (2010) : 7525
Bad News Bears in Breaking Training, The (1977) : 3968
Bad News Bears, The (1976) : 3967
Bad Seed, The (1956) : 2379
Bad and the Beautiful, The (1952) : 3955
Ballad of Cable Hogue, The (1970) : 5261
Ballad of Little Jo, The (1993) : 4823
Ballad of Narayama, The (Narayama Bushiko) (1958) : 694
Ballad of Ramblin' Jack, The (2000) : 3101
Bamba, La (1987) : 2777
Band Wagon, The (1953) : 755
Band's Visit, The (Bikur Ha-Tizmoret) (2007) : 6845
Bang, Bang, You're Dead (2002) : 5217
Bank Dick, The (1940) : 3140
Bank Job, The (2008) : 6877
Barbarian Invasions, The (Les invasions barbares) (2003) : 4883
Barefoot Contessa, The (1954) : 3494
Barefoot Executive, The (1971) : 1593
Basketball Diaries, The (1995) : 126
Batman: The Dark Knight Returns, Part 1 (2012) : 8163
Batman: The Dark Knight Returns, Part 2 (2013) : 8224
Battered Bastards of Baseball, The (2014) : 8593
Battle Creek Brawl (Big Brawl, The) (1980) : 3696
Battle of Algiers, The (La battaglia di Algeri) (1966) : 5722
Beach, The (2000) : 2636
Bear, The (Ours, L') (1988) : 2721
Beast of War, The (Beast, The) (1988) : 3530
Beastmaster, The (1982) : 3820
Beautician and the Beast, The (1997) : 1175
Beautiful Mind, A (2001) : 3871
Beaver, The (2011) : 7780
Bedroom Window, The (1987) : 2205
Believer, The (2001) : 4100
Believers, The (1987) : 1077
Bell, Book and Candle (1958) : 2809
Bellboy, The (1960) : 5629
Bells of St. Mary's, The (1945) : 5198
Benchwarmers, The (2006) : 6391
Benny Goodman Story, The (1955) : 4519
Best Exotic Marigold Hotel, The (2011) : 8016
Best Little Whorehouse in Texas, The (1982) : 4378
Best Man, The (1999) : 2387
Best Offer, The (Migliore offerta, La) (2013) : 8317
Best Years of Our Lives, The (1946) : 1501
Best of Everything, The (1959) : 6189
Best of Youth, The (La meglio gioventù) (2003) : 5215
Betrayal, The (Nerakhoon) (2008) : 7541
Better Tomorrow, A (Ying hung boon sik) (1986) : 5809
Beverly Hillbillies, The (1993) : 369
Beyond, The (E tu vivrai nel terrore - L'aldilà) (1981) : 3176
Big Bang Theory, The (2007-) : 8476
Big Bang, The (2011) : 8012
Big Blue, The (Grand bleu, Le) (1988) : 972
Big Boss, The (Fists of Fury) (Tang shan da xiong) (1971) : 3504
Big Bounce, The (2004) : 5071
Big Chill, The (1983) : 1863
Big Combo, The (1955) : 2640
Big Country, The (1958) : 2692
Big Easy, The (1987) : 3269
Big Green, The (1995) : 51
Big Heat, The (1953) : 3888
Big Hit, The (1998) : 1444
Big Kahuna, The (2000) : 2849
Big Knife, The (1955) : 4311
Big Lebowski, The (1998) : 1367
Big Mommas: Like Father, Like Son (2011) : 7741
Big One, The (1997) : 1418
Big Picture, The (1989) : 3600
Big Red One, The (1980) : 3769
Big Short, The (2015) : 8995
Big Sleep, The (1946) : 1038
Big Store, The (1941) : 6101
Big Tease, The (1999) : 2597
Big Town, The (1987) : 3270
Big Trees, The (1952) : 2656
Big Year, The (2011) : 7989
Bigamist, The (1953) : 5995
Bigger, Stronger, Faster* (2008) : 6941
Bill Cosby, Himself (1983) : 5542
Billy Blazes, Esq. (1919) : 7370
Birdcage, The (1996) : 122
Birds, The (1963) : 1078
Birth of a Nation, The (1915) : 4959
Bishop's Wife, The (1947) : 3333
Bitter Tears of Petra von Kant, The (bitteren Tränen der Petra von Kant, Die) (1972) : 6023
Black Cat, The (1934) : 5660
Black Cat, White Cat (Crna macka, beli macor) (1998) : 2274
Black Cauldron, The (1985) : 1594
Black Dahlia, The (2006) : 6504
Black God, White Devil (Deus e o Diabo na Terra do Sol) (1964) : 7311
Black Hole, The (1979) : 1595
Black Pirate, The (1926) : 5090
Black Sabbath (Tre volti della paura, I) (1963) : 3063
Black Stallion, The (1979) : 4489
Blair Witch Project, The (1999) : 2168
Blind Side, The  (2009) : 7372
Blind Swordsman: Zatoichi, The (Zatôichi) (2003) : 5389
Bling Ring, The (2013) : 8312
Blob, The (1958) : 1079
Blob, The (1988) : 3534
Blood In, Blood Out (1993) : 3009
Blood, Guts, Bullets and Octane (1998) : 1990
Bloody Child, The (1996) : 926
Blue Angel, The (Blaue Engel, Der) (1930) : 3851
Blue Dahlia, The (1946) : 5684
Blue Gardenia, The (1953) : 5170
Blue Lagoon, The (1980) : 2369
Blue Max, The (1966) : 4647
Blue Umbrella, The (2013) : 8408
Blues Brothers, The (1980) : 976
Boat, The (1921) : 7686
Body Snatcher, The (1945) : 1082
Bodyguard, The (1992) : 2613
Bolero (Uns et les autres, Les) (1981) : 4370
Bon Voyage, Charlie Brown (and Don't Come Back!) (1980) : 5223
Bone Collector, The (1999) : 2414
Book Thief, The (2013) : 8422
Book of Eli, The (2010) : 7402
Book of Life, The (1998) : 5470
Boondock Saints, The (2000) : 2631
Boot, Das (Boat, The) (1981) : 988
Borrowers, The (1997) : 1431
Boss of It All, The (Direktøren for det hele) (2006) : 6604
Boston Strangler, The (1968) : 5572
Bothersome Man, The (Brysomme mannen, Den) (2006) : 6577
Bounty Hunter, The (2010) : 7467
Bounty, The (1984) : 3203
Bourne Identity, The (1988) : 5814
Bourne Identity, The (2002) : 4121
Bourne Legacy, The (2012) : 7929
Bourne Supremacy, The (2004) : 5485
Bourne Ultimatum, The (2007) : 6724
Box, The (2009) : 7359
Boxtrolls, The (2014) : 8640
Boy Who Could Fly, The (1986) : 1960
Boy and His Dog, A (1975) : 5062
Boy in the Striped Pajamas, The (Boy in the Striped Pyjamas, The) (2008) : 7073
Boys from Brazil, The (1978) : 2576
Boys of St. Vincent, The (1992) : 109
Brady Bunch Movie, The (1995) : 518
Brain That Wouldn't Die, The (1962) : 3064
Brandon Teena Story, The (1998) : 2633
Brass Teapot, The (2012) : 8269
Brave Little Toaster, The (1987) : 3272
Break-Up, The (2006) : 6414
Breakfast Club, The (1985) : 1530
Bride of Frankenstein, The (Bride of Frankenstein) (1935) : 1084
Bridge Too Far, A (1977) : 5291
Bridge on the River Kwai, The (1957) : 1004
Bridge, The (2006) : 6509
Bridges of Madison County, The (1995) : 97
Brief History of Time, A (1991) : 4796
Bright Lights, Big City (1988) : 3535
Broadway Melody, The (1929) : 1489
Broken Circle Breakdown, The (2012) : 8301
Broken Hearts Club, The (2000) : 3125
Bronx Tale, A (1993) : 378
Brood, The (1979) : 4775
Brother from Another Planet, The (1984) : 2954
Brother, Can You Spare a Dime? (1975) : 2392
Brotherhood of the Wolf (Pacte des loups, Le) (2001) : 3894
Brothers Bloom, The (2008) : 7205
Brothers Grimm, The (2005) : 6196
Brothers McMullen, The (1995) : 123
Brown Bunny, The (2003) : 5907
Browning Version, The (1994) : 186
Bucket List, The (2007) : 6826
Buddy Holly Story, The (1978) : 2295
Bug's Life, A (1998) : 1866
Bullfighter, The (Matador) (1986) : 4923
Burial Ground (a.k.a. Zombie Horror) (a.k.a. Zombie 3) (Notti del Terrore, Le) (1981) : 3997
Burmese Harp, The (Biruma no tategoto) (1956) : 5704
Burning, The (1981) : 4281
Business of Being Born, The (2008) : 6900
Business of Strangers, The (2001) : 3847
Butcher Boy, The (1997) : 1348
Butcher's Wife, The (1991) : 1792
Bye Bye, Love (1995) : 532
Cabin in the Woods, The (2012) : 8008
Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920) : 4903
Cable Guy, The (1996) : 648
Cage aux Folles II, La (1980) : 3689
Cage aux Folles, La (1978) : 3688
Caine Mutiny, The (1954) : 5376
Call of Cthulhu, The (2005) : 6344
Call, The (2013) : 8265
Callejón de los milagros, El (1995) : 1399
Cameraman, The (1928) : 5649
Campaign, The (2012) : 8087
Canal, The (2014) : 8623
Candidate, The (1972) : 873
Cannonball Run, The (1981) : 3478
Canterbury Tales, The (I racconti di Canterbury) (1972) : 6626
Captive, The (2014) : 8650
Car 54, Where Are You? (1994) : 5037
Care Bears Movie, The (1985) : 4186
Castle, The (1997) : 2095
Cat Returns, The (Neko no ongaeshi) (2002) : 5920
Cat from Outer Space, The (1978) : 1599
Cat in the Hat, The (2003) : 4880
Cat's Meow, The (2002) : 4049
Cave, The (2005) : 6197
Celebration, The (Festen) (1998) : 1870
Cell, The (2000) : 3089
Celluloid Closet, The (1995) : 516
Cement Garden, The (1993) : 1164
Centenarian Who Climbed Out the Window and Vanished, The (Hundraåringen som klev ut genom fönstret och försvann) (2013) : 8544
Central Park Five, The (2012) : 8212
Cercle Rouge, Le (Red Circle, The) (1970) : 4867
Chamber, The (1996) : 810
Champ, The (1979) : 2734
Change-Up, The (2011) : 7832
Changeling, The (1980) : 3773
Charlie Brown Christmas, A (1965) : 5723
Chaser, The (Chugyeogja) (2008) : 7415
Cheap Detective, The (1978) : 3824
Chicago 8, The (2011) : 8372
Children of Heaven, The (Bacheha-Ye Aseman) (1997) : 1467
Children's Hour, The (1961) : 4401
China Syndrome, The (1979) : 5195
Chinese Ghost Story II, A (Sien nui yau wan II yan gaan do) (1990) : 7097
Chinese Ghost Story, A (Sinnui yauwan) (1987) : 5813
Chinoise, La (1967) : 6397
Chorus Line, A (1985) : 4589
Chorus, The (Choristes, Les) (2004) : 5940
Christmas Carol, A (1938) : 889
Christmas Carol, A (2009) : 7354
Christmas Carol, A (Scrooge) (1951) : 5419
Christmas Story, A (1983) : 2248
Chronicles of Narnia: Prince Caspian, The (2008) : 6930
Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005) : 6289
Chronicles of Narnia: The Voyage of the Dawn Treader, The (2010) : 7661
Chronicles of Riddick, The (2004) : 5390
Ciao, Professore! (Io speriamo che me la cavo) (1992) : 511
Cider House Rules, The (1999) : 2532
Cinderella Story, A (2004) : 5477
Circle, The (Dayereh) (2000) : 3384
Circus, The (1928) : 2650
City of Lost Children, The (Cité des enfants perdus, La) (1995) : 28
City of Violence, The (Jjakpae) (2006) : 6789
Civil Action, A (1998) : 1942
Civil War, The (1990) : 7983
Claim, The (2000) : 3234
Clan of the Cave Bear, The (1986) : 1705
Class, The (Entre les murs) (2008) : 7064
Class, The (Klass) (2007) : 6891
Claymation Christmas Celebration, A (1987) : 5443
Client, The (1994) : 315
Clique, The (2008) : 7224
Clock, The (1945) : 5450
Clockwork Orange, A (1971) : 962
Clonus Horror, The (1979) : 5778
Closet, The (Placard, Le) (2001) : 3467
Coca-Cola Kid, The (1985) : 4072
Cocoanuts, The (1929) : 6119
Cold Light of Day, The (2012) : 8103
Collection, The (2012) : 8213
Colonel Chabert, Le (1994) : 351
Color Purple, The (1985) : 2195
Color of Money, The (1986) : 1980
Color of Paradise, The (Rang-e khoda) (1999) : 2759
Comancheros, The (1961) : 4640
Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean (1982) : 4381
Commitments, The (1991) : 2458
Company Men, The (2010) : 7671
Company You Keep, The (2012) : 8220
Company, The (2003) : 5027
Competition, The (1980) : 3776
Computer Wore Tennis Shoes, The (1969) : 1601
Concert for George, The (2003) : 4839
Concorde: Airport '79, The (1979) : 2033
Condemned, The (2007) : 6668
Confessional, The (Confessionnal, Le) (1995) : 55
Conformist, The (Conformista, Il) (1970) : 2347
Congress, The (2013) : 8403
Conjuring, The (2013) : 8336
Conspirator, The (2010) : 7837
Constant Gardener, The (2005) : 6198
Contempt (Mépris, Le) (1963) : 1250
Contender, The (2000) : 3160
Conversation, The (1974) : 2982
Cook the Thief His Wife & Her Lover, The (1989) : 932
Cool, Dry Place, A (1998) : 1408
Cooler, The (2003) : 5008
Core, The (2003) : 4542
Corporation, The (2003) : 5950
Corrina, Corrina (1994) : 316
Corruptor, The (1999) : 2036
Cotton Club, The (1984) : 3677
Couch Trip, The (1988) : 3541
Counselor, The (2013) : 8401
Counterfeiters, The (Die Fälscher) (2007) : 6881
Country Girl, The (1954) : 5588
Court Jester, The (1956) : 4968
Courtship of Eddie's Father, The (1963) : 4635
Cove, The (2009) : 7314
Covenant, The (2006) : 6496
Cowboy Way, The (1994) : 387
Craft, The (1996) : 610
Cranes Are Flying, The (Letyat zhuravli) (1957) : 4096
Crazies, The (2010) : 7448
Crazies, The (a.k.a. Code Name: Trixie) (1973) : 4614
Crazy, Stupid, Love. (2011) : 7820
Creature from the Black Lagoon, The (1954) : 3141
Crime of Father Amaro, The (Crimen del padre Amaro, El) (2002) : 4322
Crimson Pirate, The (1952) : 2724
Crimson Rivers 2: Angels of the Apocalypse (Rivières pourpres II - Les anges de l'apocalypse, Les) (2004) : 5910
Crimson Rivers, The (Rivières pourpres, Les) (2000) : 3468
Crocodile Hunter: Collision Course, The (2002) : 4145
Croods, The (2013) : 8262
Crossing Guard, The (1995) : 72
Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000) : 3199
Crow, The (1994) : 318
Crow: City of Angels, The (1996) : 682
Crow: Salvation, The (2000) : 2846
Crucible, The (1996) : 1107
Cruise, The (1998) : 1838
Crush, The (1993) : 3066
Cry in the Dark, A (1988) : 2582
Cry, the Beloved Country (1995) : 38
Crying Game, The (1992) : 885
Cup, The (Phörpa) (1999) : 2598
Cure, The (1995) : 193
Curiosity of Chance, The (2006) : 7281
Curious Case of Benjamin Button, The (2008) : 7098
Curse of Frankenstein, The (1957) : 2124
Curse of the Cat People, The (1944) : 5678
Curse of the Jade Scorpion, The (2001) : 3709
Cutting Edge, The (1992) : 2626
Cutting Edge: The Magic of Movie Editing, The (2004) : 6312
Da Vinci Code, The (2006) : 6412
Dam Busters, The (1955) : 6566
Damned United, The (2009) : 7187
Damsel in Distress, A (1937) : 863
Dancer Upstairs, The (2002) : 4582
Dancer, Texas Pop. 81 (1998) : 1445
Dangerous Lives of Altar Boys, The (2002) : 4124
Dangerous Method, A (2011) : 7868
Darjeeling Limited, The (2007) : 6771
Dark Crystal, The (1982) : 1698
Dark Half, The (1993) : 2324
Dark Knight Rises, The (2012) : 7928
Dark Knight, The (2008) : 6892
Darkest Hour, The (2011) : 7939
Darkman II: Return of Durant, The (1995) : 5858
Das Experiment (Experiment, The) (2001) : 4220
Davy Crockett, King of the Wild Frontier (1955) : 812
Day After Tomorrow, The (2004) : 5381
Day After, The (1983) : 5787
Day at the Races, A (1937) : 5439
Day of the Beast, The (Día de la Bestia, El) (1995) : 1987
Day of the Doctor, The (2013) : 8431
Day of the Dolphin, The (1973) : 4719
Day of the Jackal, The (1973) : 5352
Day of the Locust, The (1975) : 5506
Day of the Triffids, The (1962) : 4409
Day the Earth Stood Still, The (1951) : 1007
Day the Earth Stood Still, The (2008) : 7084
Day the Sun Turned Cold, The (Tianguo niezi) (1994) : 687
Daytrippers, The (1996) : 1198
Dead Pool, The (1988) : 3547
Dead Zone, The (1983) : 1678
Dead, The (1987) : 3276
Deal, The (2008) : 7271
Death in the Garden (Mort en ce jardin, La) (1956) : 669
Debt, The (2011) : 7845
Decade Under the Influence, A (2003) : 4577
Decalogue, The (Dekalog) (1989) : 5810
Decameron, The (Decameron, Il) (1971) : 6571
Decline of Western Civilization Part II: The Metal Years, The (1988) : 2934
Decline of Western Civilization, The (1981) : 2933
Decline of the American Empire, The (Déclin de l'empire américain, Le) (1986) : 5596
Deep End of the Ocean, The (1999) : 2040
Deep End, The (2001) : 3702
Deer Hunter, The (1978) : 1017
Defender, The (a.k.a. Bodyguard from Beijing, The) (Zhong Nan Hai bao biao) (1994) : 5861
Defiant Ones, The (1958) : 3873
Definitely, Maybe (2008) : 6868
Departed, The (2006) : 6519
Descendants, The (2011) : 7909
Descent, The (2005) : 6275
Designated Mourner, The (1997) : 1233
Desperate Hours, The (1955) : 6802
Devil Rides Out, The (1968) : 3098
Devil Wears Prada, The (2006) : 6423
Devil and Daniel Johnston, The (2005) : 6380
Devil and Max Devlin, The (1981) : 1605
Devil's Backbone, The (Espinazo del diablo, El) (2001) : 3815
Devil's Chair, The (2006) : 7076
Devil's Own, The (1997) : 1201
Devil's Rain, The (1975) : 5268
Devil's Rejects, The (2005) : 6168
Diary of a Chambermaid (Journal d'une femme de chambre, Le) (1964) : 3480
Dictator, The (2012) : 8025
Dilemma, The (2011) : 7700
Dinner Game, The (Dîner de cons, Le) (1998) : 2157
Dirty Dozen, The (1967) : 2363
Dirty Shame, A (2004) : 5567
Disappearance of Haruhi Suzumiya, The (Suzumiya Haruhi no shôshitsu) (2010) : 7960
Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972) : 4743
Dish, The (2001) : 3366
Distinguished Gentleman, The (1992) : 2511
Diving Bell and the Butterfly, The (Scaphandre et le papillon, Le) (2007) : 6797
Divo, Il (2008) : 7154
Divorce, Le (2003) : 4710
Dog's Life, A (1918) : 2653
Dog, The (2013) : 8611
Dogs of War, The (1980) : 3779
Dolce Vita, La (1960) : 5336
Dolly Sisters, The (1945) : 7806
Doom Generation, The (1995) : 145
Doors, The (1991) : 884
Double Life of Veronique, The (Double Vie de Véronique, La) (1991) : 935
Double Life, A (1947) : 4715
Double, The (2011) : 7901
Downfall (Untergang, Der) (2004) : 6011
Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler) (1922) : 3734
Draughtsman's Contract, The (1982) : 2589
Dream Team, The (1989) : 3607
Dreamers, The (2003) : 5075
Dreamlife of Angels, The (Vie rêvée des anges, La) (1998) : 2066
Driller Killer, The (1979) : 5213
Duck, You Sucker (1971) : 5259
Dude, Where's My Car? (2000) : 3216
Duellists, The (1977) : 4402
Dukes of Hazzard, The (2005) : 6179
Dylan Moran: Like, Totally (2006) : 7969
Eagle Has Landed, The (1976) : 3189
Eagle, The (2011) : 7730
Earthling, The (1980) : 3830
Eclisse, L' (Eclipse) (1962) : 5716
Edge of Heaven, The (Auf der anderen Seite) (2007) : 6785
Edge, The (1997) : 1286
Education, An (2009) : 7327
Edukators, The (Die Fetten Jahre sind vorbei) (2004) : 6151
Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972) : 2466
Electric Horseman, The (1979) : 4621
Elementary Particles, The (Elementarteilchen) (2006) : 6527
Elephant Man, The (1980) : 1830
Elvira, Mistress of the Dark (1988) : 3550
Emerald Forest, The (1985) : 1880
Emperor and the Assassin, The (Jing ke ci qin wang) (1999) : 2539
Emperor's New Clothes, The (2001) : 4125
Emperor's New Groove, The (2000) : 3217
End of Summer, The (Early Autumn) (Kohayagawa-ke no aki) (1961) : 6991
End of Violence, The (1997) : 2810
End of the Affair, The (1999) : 2514
End, The (1978) : 3346
Endless Summer 2, The (1994) : 392
Endless Summer, The (1966) : 2910
Endurance: Shackleton's Legendary Antarctic Expedition, The (2000) : 3743
Enemy Below, The (1957) : 5490
Enfer, L' (1994) : 236
Enforcer, The (1951) : 5041
Enforcer, The (1976) : 3833
English Patient, The (1996) : 941
English Teacher, The (2013) : 8284
Englishman Who Went Up a Hill But Came Down a Mountain, The (1995) : 416
Enigma of Kaspar Hauser, The (a.k.a. Mystery of Kaspar Hauser, The) (Jeder für sich und Gott Gegen Alle) (1974) : 3913
Equalizer, The (2014) : 8574
Evening Star, The (1996) : 1145
Evening with Kevin Smith, An (2002) : 6749
Evil Cult, The (Lord of the Wu Tang) (Yi tian tu long ji: Zhi mo jiao jiao zhu) (1993) : 8186
Evil Dead, The (1981) : 3281
Evil That Men Do, The (1984) : 4037
Exorcism of Emily Rose, The (2005) : 6217
Exorcist III, The (1990) : 1561
Exorcist, The (1973) : 1559
Expendables 2, The (2012) : 7924
Expendables, The (2010) : 7575
Experts, The (1989) : 3612
Exterminating Angel, The (Ángel exterminador, El) (1962) : 5466
Extremely Goofy Movie, An (2000) : 5879
Eye, The (Gin gwai) (Jian gui) (2002) : 4865
Eyes Without a Face (Yeux sans visage, Les) (1959) : 684
Eyes of Tammy Faye, The (2000) : 3086
Fabulous Baker Boys, The (1989) : 2938
Face in the Crowd, A (1957) : 2441
Faculty, The (1998) : 1937
Fall of the House of Usher, The (House of Usher) (1960) : 3483
Fall, The (2006) : 6924
Fallen Idol, The (1948) : 6447
Family Man, The (2000) : 3224
Family Stone, The (2005) : 6292
Family Thing, A (1996) : 555
Family, The (2013) : 8383
Fan, The (1981) : 4249
Fan, The (1996) : 646
Fantastic Fear of Everything, A (2012) : 8170
Fantastic Planet, The (Planète sauvage, La) (1973) : 1997
Far Country, The (1954) : 4630
Far Off Place, A (1993) : 1606
Faraway, So Close (In weiter Ferne, so nah!) (1993) : 3131
Farewell to Arms, A (1932) : 791
Farewell, My Lovely (1975) : 5764
Farmer's Daughter, The (1947) : 5460
Fast & Furious (Fast and the Furious 4, The) (2009) : 7178
Fast & Furious 6 (Fast and the Furious 6, The) (2013) : 8298
Fast Five (Fast and the Furious 5, The) (2011) : 7774
Fast Runner, The (Atanarjuat) (2001) : 4120
Fast and the Furious, The (1955) : 7253
Fast and the Furious, The (2001) : 3460
Fast and the Furious: Tokyo Drift, The (Fast and the Furious 3, The) (2006) : 6438
Fast, Cheap & Out of Control (1997) : 1313
Favor, The (1994) : 396
Fearless Vampire Killers, The (1967) : 5592
Femme Nikita, La (Nikita) (1990) : 1003
Few Good Men, A (1992) : 1794
Fiendish Plot of Dr. Fu Manchu, The (1980) : 1808
Fifth Element, The (1997) : 1224
Fighter, The (2010) : 7651
Fighting Seabees, The (1944) : 2907
File on Thelma Jordan, The (1950) : 7235
Filth and the Fury, The (2000) : 2827
Final Conflict, The (a.k.a. Omen III: The Final Conflict) (1981) : 2234
Final Destination, The (Final Destination 4) (Final Destination in 3-D, The) (2009) : 7301
Firemen's Ball, The (Horí, má panenko) (1967) : 3969
Firm, The (1993) : 403
First Beautiful Thing, The (La prima cosa bella) (2010) : 7645
First Day of the Rest of Your Life, The (Le premier jour du reste de ta vie) (2008) : 7429
First Nudie Musical, The (1976) : 8373
First Time, The (2012) : 8267
First Wives Club, The (1996) : 673
Fish Called Wanda, A (1988) : 870
Fisher King, The (1991) : 2500
Fist of Fury (Chinese Connection, The) (Jing wu men) (1972) : 3503
Fistful of Dollars, A (Per un pugno di dollari) (1964) : 2370
Fists in the Pocket (Pugni in tasca, I) (1965) : 6280
Five Obstructions, The (Fem benspænd, De) (2003) : 5594
Five Senses, The (1999) : 3035
Five-Year Engagement, The (2012) : 8017
Flamingo Kid, The (1984) : 2652
